CÓDIGO,COMPONENTE CURRICULAR,CURSO,TURMA,HORÁRIO,,PROFESSOR(A)
6006,ALGEBRA LINEAR M I,LICENCIATURA EM MATEMÁTICA,LM1,QUA - 20:10 às 21:50,SEX - 18:30 às 20:10,
6006,ALGEBRA LINEAR M I,LICENCIATURA EM MATEMÁTICA,LM3,QUA - 16:00 às 18:00,SEX - 14:00 às 16:00,
6007,ALGEBRA LINEAR M II,LICENCIATURA EM MATEMÁTICA,LM1,QUA - 20:10 às 21:50,SEX - 18:30 às 20:10,
6007,ALGEBRA LINEAR M II,LICENCIATURA EM MATEMÁTICA,LM3,QUA - 16:00 às 18:00,SEX - 14:00 às 16:00,
6410,ANÁLISE COMBINATÓRIA,LICENCIATURA EM MATEMÁTICA,LM1,TER - 20:10 às 21:50,QUI - 18:30 às 20:10,
6410,ANÁLISE COMBINATÓRIA,LICENCIATURA EM MATEMÁTICA,LM3,TER - 16:00 às 18:00,QUI - 14:00 às 16:00,
6114,ANÁLISE REAL,LICENCIATURA EM MATEMÁTICA,LM1,QUA - 20:10 às 21:50,SEX - 18:30 às 20:10,
6114,ANÁLISE REAL,LICENCIATURA EM MATEMÁTICA,LM3,QUA - 16:00 às 18:00,SEX - 14:00 às 16:00,
6496,ARITMÉTICA DOS INTEIROS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6496,ARITMÉTICA DOS INTEIROS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6494,CÁLCULO M I,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6494,CÁLCULO M I,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00, Jogli Gidel
6491,CÁLCULO M II,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6491,CÁLCULO M II,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6412,CÁLCULO M III,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6412,CÁLCULO M III,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6413,CÁLCULO M IV,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6413,CÁLCULO M IV,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6414,CÁLCULO M V,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6414,CÁLCULO M V,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6461,ELEMENTOS DE LÓGICA MATEMÁTICA,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6461,ELEMENTOS DE LÓGICA MATEMÁTICA,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6008,EVOLUÇÃO DAS IDÉIAS MATEMÁTICAS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUI - 18:30 às 20:10,
6008,EVOLUÇÃO DAS IDÉIAS MATEMÁTICAS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUI - 14:00 às 16:00,
6477,FUNÇÕES REAIS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6477,FUNÇÕES REAIS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6453,GEOMETRIA ANALÍTICA A L,LICENCIATURA EM MATEMÁTICA,LM1,QUA - 20:10 às 21:50,SEX - 18:30 às 20:10,
6453,GEOMETRIA ANALÍTICA A L,LICENCIATURA EM MATEMÁTICA,LM3,QUA - 16:00 às 18:00,SEX - 14:00 as 16:00,
6411,GEOMETRIA EUCLIDIANA,LICENCIATURA EM MATEMÁTICA,LM1,TER - 18:30 às 20:10,SEX - 20:10 às 21:50,
6411,GEOMETRIA EUCLIDIANA,LICENCIATURA EM MATEMÁTICA,LM3,TER - 14:00 às 16:00,SEX - 16:00 às 18:00,
6115,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6115,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,
6004,INTRODUÇÃO À TEORIA DOS ANÉIS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUA - 18:30  às 20:10,
6004,INTRODUÇÃO À TEORIA DOS ANÉIS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6005,INTRODUÇÃO À TEORIA DOS GRUPOS,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10  às 21:50,QUA - 18:30  às 20:10,
6005,INTRODUÇÃO À TEORIA DOS GRUPOS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00  às 18:00,QUA - 14:00  às 16:00,
6504,LABORATÓRIO DE MATEMÁTICA PARA EDUCAÇAO BÁSICA,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 18:30 às 20:10,QUI - 20:10 às 21:50,
6504,LABORATÓRIO DE MATEMÁTICA PARA EDUCAÇAO BÁSICA,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 14:00 às 16:00,QUI - 16:00 às 18:00,Fabiano Barbosa
6501,NÚMEROS,LICENCIATURA EM MATEMÁTICA,LM1,QUA - 20:10 às 21:50,SEX - 18:30 às 20:10,
6501,NÚMEROS,LICENCIATURA EM MATEMÁTICA,LM3,QUA - 16:00 às 18:00,SEX - 14:00 às 16:00,
6502,SEQUÊNCIAS E SÉRIES,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUI - 18:30 às 20:10,
6502,SEQUÊNCIAS E SÉRIES,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUI - 14:00 às 16:00,
6495,ESPAÇO MÉTRICOS,LICENCIATURA EM MATEMÁTICA,LM3,SEG - 16:00 às 18:00,QUI - 14:00 às 16:00,Eudes Barbosa
6116,GEOMETRIA ESPACIAL,LICENCIATURA EM MATEMÁTICA,LM1,SEG - 20:10 às 21:50,QUI - 18:30 às 20:10,Filipe Andrade
6507,CÁLCULO N I,PREG,UNIF2,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,Gilson Carvalho
6507,CÁLCULO N I,PREG,UNIF1,SEG - 16:00 às 18:00,QUA- 14:00 às 16:00,Gilson Carvalho
6507,CÁLCULO N I,BACHARELADO EM CIÊNCIAS DA COMPUTAÇÃO,BC3,SEG - 16:00 às 18:00,QUA- 14:00 às 16:00,
6508,CÁLCULO N II,BACHARELADO EM CIÊNCIAS DA COMPUTAÇÃO,BC3,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6418,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTAÇÃO,BACHARELADO EM CIÊNCIAS DA COMPUTAÇÃO,BC3,TER - 16:00 às 18:00,QUI - 14:00 às 16:00,
6507,CÁLCULO N I,LICENCIATURA EM COMPUTAÇÃO,LC1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6508,CÁLCULO N II,LICENCIATURA EM COMPUTAÇÃO,LC1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6506,ÁLGEBRA LINEAR N I,LICENCIATURA EM COMPUTAÇÃO,LC1,TER - 18:30 às 20:10,SEX - 20:10 às 21:50 ,
6507,CÁLCULO N I,BACHARELADO EM ENGENHARIA FLORESTAL,SF3,SEG - 16:00 às 18:00,TER - 16:00 às 18:00,
6508,CÁLCULO N II,BACHARELADO EM ENGENHARIA FLORESTAL,SF1,TER - 10:00 às 12:00,QUI - 07:00 às 09:00,
6453,GEOMETRIA ANALÍTICA AL,BACHARELADO EM ENGENHARIA FLORESTAL,SF1,TER - 10:00 às 12:00,SEX - 07:00 às 09:00,
6507,CÁLCULO N I,BACHARELADO EM ENGENHARIA AGRÍCOLA E AMBIENTAL,EA3,SEG - 16:00 às 18:00,QUA - 13:00 às 15:00,
6508,CÁLCULO N II,BACHARELADO EM ENGENHARIA AGRÍCOLA E AMBIENTAL,EA1,SEG - 10:00 às 12:00,QUA - 07:00 às 09:00,
6509,CÁLCULO N III,BACHARELADO EM ENGENHARIA AGRÍCOLA E AMBIENTAL,EA3,SEG - 16:00 às 18:00,QUA - 13:00 às 15:00,
6453,GEOMETRIA ANALÍTICA AL,BACHARELADO EM ENGENHARIA AGRÍCOLA E AMBIENTAL,EA3,TER - 13:00 às 15:00,SEX - 16:00 às 18:00,
6506,ÁLGEBRA LINEAR N I,BACHARELADO EM ENGENHARIA AGRÍCOLA E AMBIENTAL,EA1,TER - 07:00 às 09:00,SEX - 10:00 às 12:00,
6507,CÁLCULO N I,LICENCIATURA EM QUÍMICA,LQ1,TER - 20:10 às 21:50,QUI - 18:30 às 20:10,
6507,CÁLCULO N I,LICENCIATURA EM QUÍMICA,LQ3,TER - 14:00 às 16:00,QUI - 14:00 às 16:00,
6508,CÁLCULO N II,LICENCIATURA EM QUÍMICA,LQ1,TER - 20:10 às 21:50,QUI - 18:30 às 20:10,
6510,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A,LICENCIATURA EM QUÍMICA,LQ1,TER - 20:10 às 21:50,QUI - 18:30 às 20:10,
6510,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A,LICENCIATURA EM QUÍMICA,LQ3,TER - 16:00 às 18:00,QUI - 14:00 às 16:00,
6507,CÁLCULO N I,BACHARELADO EM ZOOTECNIA,SZ3,SEG - 16:00 às 18:00,QUA - 13:00 às 15:00,
6462,MATEMÁTICA PARA BIÓLOGOS I,BACHARELADO EN CIÊNCIAS BIOLÓGICAS,SB3,TER - 13:00 às 15:00,SEX - 13:00 às 15:00,
6507,CÁLCULO N I,BACHARELADO EM ENGENHARIA AMBIENTAL,AM3,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6509,CÁLCULO N III,BACHARELADO EM ENGENHARIA AMBIENTAL,AM1,SEG - 07:00 às 09:00,QUA - 10:00 às 12:00,
6405,GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR A,BACHARELADO EM ENGENHARIA AMBIENTAL ,AM3,TER - 14:00 às 16:00,QUI - 16:00 às 18:00,
6510,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A,BACHARELADO EM ENGENHARIA AMBIENTAL,AM1,TER - 10:00 às 12:00,QUI - 07:00 às 09:00,
6507,CÁLCULO N I,BACHARELADO EM ENGENHARIA DE PESCA,SP3,SEG - 16:00 às 18:00,QUA - 13:00 às 15:00,
6508,CÁLCULO N II,BACHARELADO EM ENGENHARIA DE PESCA,SP1,SEG - 10:00 às 12:00,QUA - 08:00 às 10:00,
6453,GEOMETRIA ANALÍTICA AL,BACHARELADO EM ENGENHARIA DE PESCA,SP1,TER - 07:00 às 09:00,SEX - 10:00 às 12:00,
6463,MATEMÁTICA A,BACHARELADO EM AGRONOMIA,SA1,TER - 10:00 às 12:00,QUI - 10:00 às 12:00,
6463,MATEMÁTICA A,BACHARELADO EM AGRONOMIA,SA3,SEG - 16:00 às 18:00,QUA - 16:00 às 18:00,
6464,MATEMÁTICA B,BACHARELADO EM AGRONOMIA,SA1,SEG - 07:00 às 10:00,SEX - 09:00 às 12:00,
6464,MATEMÁTICA B,BACHARELADO EM AGRONOMIA,SA3,TER - 13:00 às 16:00,SEX - 15:00 às 18:00,
6507,CÁLCULO N I,BACHARELADO EM CIÊNCIAS ECONÔMICAS,CE1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6508,CÁLCULO N II,BACHARELADO EM CIÊNCIAS ECONÔMICAS,CE1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6507,CÁLCULO N I,LICENCIATURA EM FÍSICA,LF1,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6508,CÁLCULO N II,BACHARELADO EM ENGENHARIA AMBIENTAL LICENCIATURA EM FÍSICA ,AM3/LF3,SEG - 16:00 as 18:00,QUA - 14:00 às 16:00,
6509,CÁLCULO N III,LICENCIATURA EM FÍSICA,LF3,SEG - 20:10 às 21:50,QUA - 18:30 às 20:10,
6510,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A,LICENCIATURA EM FÍSICA,LF1,SEG - 16:00 às 18:00,QUA - 14:00 às 16:00,
6453,GEOMETRIA ANALÍTICA AL,LICENCIATURA EM FÍSICA,LF3,TER - 20:10 às 21:50,QUI - 18:30 às 20:10,
6506,ALGEBRA LINEAR N I,LICENCIATURA EM FÍSICA,LF1,TER - 16:00 às 18:00,QUI - 14:00 às 16:00,
6507,CÁLCULO N I,BACHARELADO EM SISTEMAS DE INFORMAÇÃO ,SI1,QUI - 08:00 às 10:00,QUI - 10:00 às 12:00,Deibsom Silva
6507,CÁLCULO N I,TECNOLÓGICO EM AQUICULTURA,AQ1,SEG - 07:00 às 09:00,QUA - 10:00 às 12:00,
MA 014,ARITMÉTICA,PROFMAT,PROFMAT,SEX - 08:30 às 11:30,,Rodrigo Gondim
MA 013,GEOMETRIA,PROFMAT,PROFMAT,SEX - 13:00 às 16:00,,Adriano Régis
MA 023,GEOMETRIA ANALÍTICA,PROFMAT,PROFMAT,SEX - 13:00 às 16:00,,Edgar Amorim
MA 021,RESOLUÇÃO DE PROBLEMAS - VERÃO,PROFMAT,PROFMAT,,,Fabiano Barbosa
MA 024,TRABALHO DE CONCLUSÃO DE CURSO,PROFMAT,PROFMAT,SEX - 08:30 às 11:30,,Tarciana Maria
